seed,selector,portfolio_source,portfolio_size,avg_loss,avg_regret
31,Privileged Classifier,smac,7,0.03917648849873115,0.01944365203806669
31,Regressor,smac,8,0.035256154245627905,0.013625248030852428
31,MLP Selector,smac,8,0.025414142241713605,0.008051014117429965
31,DGCAC-inspired,smac,2,0.029483708289803276,0.0052090422367756725
31,Cluster ISAC,smac,8,0.03023196421574649,0.005774682080395453
31,Temporal Soft Cluster ISAC,smac,8,0.027777357711851688,0.00764969481783504
32,Privileged Classifier,smac,6,0.055936195347367455,0.03032873613003456
32,Regressor,smac,8,0.03913126429601297,0.019720859908442814
32,MLP Selector,smac,8,0.04220303785816359,0.012317055725533781
32,DGCAC-inspired,smac,5,0.027694122283361478,0.005540784173823756
32,Cluster ISAC,smac,8,0.041963781335570875,0.02049643728067899
32,Temporal Soft Cluster ISAC,smac,5,0.039153600818124044,0.017154640992768526
33,Privileged Classifier,smac,8,0.029473869992424035,0.014575678371826951
33,Regressor,smac,4,0.049345762073347496,0.031021218032068403
33,MLP Selector,smac,7,0.026421554714570042,0.011001000388449037
33,DGCAC-inspired,smac,8,0.02612058797078971,0.012163128916083003
33,Cluster ISAC,smac,7,0.031141034381666807,0.015055378250345178
33,Temporal Soft Cluster ISAC,smac,8,0.023348446903985173,0.008835579993774708
