selector,avg_runtime,avg_regret,avg_switch_cost,avg_total_penalty,accuracy,switch_rate
Oracle,1.6820837881632975,0.02810826971297541,0.016499999999999786,0.0446082697129752,0.65625,0.44
Global Best,1.7505563703641844,0.0965808519138617,0.0,0.0965808519138617,1.0,0.0
Random,1.916719058470178,0.26274354001985556,0.0344687499999994,0.297212290019855,0.0859375,0.9191666666666667
Cluster ISAC,1.7170111171358833,0.06303559868555977,0.014687499999999826,0.0777230986855596,0.32421875,0.39166666666666666
DGCAC-inspired,1.7218375829373744,0.06786206448705188,0.0071249999999999855,0.07498706448705186,0.2921875,0.19
Privileged Classifier,1.7329467051491878,0.07897118669886433,0.013656249999999847,0.09262743669886417,0.31875,0.3641666666666667
Regressor,1.7107428678233287,0.056767349373005774,0.008406249999999959,0.06517359937300574,0.3625,0.22416666666666665
MLP Selector,1.7101264243733532,0.05615090592303088,0.009593749999999932,0.06574465592303082,0.3703125,0.25583333333333336
Temporal MoE,1.8036499970881124,0.14967447863778965,0.024093749999999626,0.17376822863778926,0.06328125,0.6425
Temporal Soft Cluster ISAC,1.7157874629322756,0.06181194448195313,0.007031249999999987,0.06884319448195311,0.3171875,0.1875
